Row Labels,TotalOT,PL1,SL1,SP1,IP1,Total SL,TotalLeave,OT,10.5,AGE_YR,SERV_YR,Reason,Status
227F8,8.125,0.000,1.250,0.000,0.000,1.250,1.250,8.125,0.000,25,3,A,Resign
227G9,36.694,0.000,0.000,0.000,0.000,0.000,0.000,26.871,0.935,28,3,A,Resign
227H3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25,2,A,Resign
227H7,68.929,0.000,0.000,0.000,0.000,0.000,0.000,46.429,2.143,27,3,W,Working
227K3,38.593,0.148,0.000,0.000,0.000,0.000,0.148,28.093,1.000,38,1,D,Resign
227K5,57.667,0.000,0.000,0.000,0.000,0.000,0.000,42.167,1.476,25,1,W,Working
227K6,24.233,0.000,0.000,0.000,0.000,0.000,0.000,23.533,0.067,20,0,W,Working
228A9,10.667,0.000,0.333,0.000,0.429,0.762,0.762,8.667,0.190,37,5,W,Working
228F8,55.667,0.000,0.000,0.000,0.000,0.000,0.000,38.667,1.619,24,4,W,Working
228K2,35.731,0.000,0.000,0.256,0.000,0.256,0.256,26.846,0.846,32,1,W,Working
228K3,17.455,0.727,0.000,0.182,0.000,0.182,0.909,15.545,0.182,29,0,D,Resign
228K6,12.083,0.000,0.167,0.167,0.000,0.333,0.333,12.083,0.000,20,0,A,Resign
229G8,39.190,0.000,0.190,0.000,0.000,0.190,0.190,32.690,0.619,29,3,W,Working
229H2,10.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,21,2,D,Resign
229K1,55.464,0.500,0.571,0.000,0.000,0.571,1.071,37.464,1.714,32,1,D,Resign
229K2,28.551,0.179,0.000,0.103,0.000,0.103,0.282,21.282,0.692,23,1,W,Working
229K6,18.692,0.615,1.000,0.000,0.000,1.000,1.615,15.462,0.308,25,0,A,Resign
230H4,14.405,0.095,0.143,0.000,0.000,0.143,0.238,11.905,0.238,26,3,W,Working
230K5,17.238,1.048,0.286,0.000,0.000,0.286,1.333,17.238,0.000,22,1,W,Working
230K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18,0,A,Resign
231H6,24.083,0.000,0.000,0.000,0.000,0.000,0.000,20.583,0.333,25,2,A,Resign
231K4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24,0,A,Resign
231K5,2.500,0.500,0.500,1.000,0.000,1.500,2.000,2.500,0.000,23,0,D,Resign
231K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19,0,D,Resign
232H2,14.786,0.000,0.000,0.000,0.000,0.000,0.000,13.286,0.143,43,3,W,Working
232H9,13.071,0.095,0.048,0.000,0.000,0.048,0.143,12.071,0.095,37,2,W,Working
232K5,26.071,0.714,0.048,0.190,0.000,0.238,0.952,22.571,0.333,19,1,W,Working
232K6,51.800,0.067,0.133,0.000,0.000,0.133,0.200,36.400,1.467,18,0,W,Working
233G3,14.905,0.238,0.381,0.143,0.286,0.810,1.048,13.405,0.143,34,4,W,Working
233H2,13.357,0.000,0.286,0.000,0.000,0.286,0.286,11.857,0.143,24,3,W,Working
233H4,22.219,0.625,0.250,0.375,0.125,0.750,1.375,16.969,0.500,34,3,D,Resign
233K2,44.500,0.282,0.103,0.256,0.308,0.667,0.949,32.923,1.103,25,1,W,Working
233K6,3.125,0.000,4.000,0.000,0.000,4.000,4.000,3.125,0.000,23,0,D,Resign
234D5,15.952,0.000,0.000,0.000,0.000,0.000,0.000,13.452,0.238,31,5,W,Working
234H4,13.119,0.000,0.190,0.000,0.048,0.238,0.238,11.619,0.143,36,3,W,Working
234K1,16.071,0.714,0.524,0.381,1.048,1.952,2.667,13.571,0.238,27,2,W,Working
234K6,41.833,0.600,0.000,0.000,0.000,0.000,0.600,31.333,1.000,33,0,W,Working
235F4,17.750,0.000,0.000,0.000,0.000,0.000,0.000,15.125,0.250,26,3,A,Resign
235F8,13.190,0.048,0.571,0.000,0.000,0.571,0.619,12.190,0.095,26,4,W,Working
235K6,39.067,0.133,0.000,0.067,0.000,0.067,0.200,31.367,0.733,20,0,W,Working
236G8,22.064,0.000,0.308,0.000,0.000,0.308,0.308,19.910,0.205,40,3,W,Working
236H3,14.310,0.000,0.000,0.000,0.476,0.476,0.476,12.810,0.143,29,3,W,Working
236K2,10.000,1.500,0.000,0.000,0.000,0.000,1.500,10.000,0.000,34,0,A,Resign
236K4,39.262,0.429,0.571,0.095,0.000,0.667,1.095,29.762,0.905,22,1,W,Working
236K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24,0,D,Resign
237H4,15.050,0.000,0.000,0.000,0.000,0.000,0.000,11.900,0.300,39,2,A,Resign
237K1,31.833,0.179,0.462,0.000,0.000,0.462,0.641,26.718,0.487,25,2,W,Working
237K2,31.308,0.308,0.308,0.154,0.000,0.462,0.769,25.654,0.538,38,1,D,Resign
237K5,9.190,0.619,0.952,0.667,0.190,1.810,2.429,7.690,0.143,25,1,W,Working
237K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36,0,D,Resign
238F6,21.262,0.000,0.000,0.000,0.000,0.000,0.000,19.262,0.190,43,4,W,Working
238G2,10.976,0.048,0.381,0.238,0.143,0.762,0.810,9.476,0.143,26,4,W,Working
238H2,11.853,0.235,0.176,0.059,0.471,0.706,0.941,9.382,0.235,21,3,D,Resign
238K6,34.567,0.200,0.267,0.000,0.200,0.467,0.667,26.867,0.733,26,0,W,Working
239G3,17.452,0.000,0.333,0.000,0.000,0.333,0.333,15.452,0.190,37,4,W,Working
239H7,32.786,0.048,0.190,0.095,0.095,0.381,0.429,27.286,0.524,25,3,W,Working
239H9,8.625,0.083,0.500,0.083,0.667,1.250,1.333,7.750,0.083,40,2,D,Resign
239K5,0.000,0.750,0.000,0.250,0.000,0.250,1.000,0.000,0.000,30,0,A,Resign
239K6,36.900,0.200,1.067,0.000,0.000,1.067,1.267,29.200,0.733,32,0,W,Working
240G2,13.476,0.000,0.000,0.000,0.000,0.000,0.000,11.976,0.143,40,4,W,Working
240K1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22,1,D,Resign
240K3,40.929,0.238,0.524,0.143,0.000,0.667,0.905,32.429,0.810,40,1,W,Working
240K6,46.567,0.000,0.000,0.000,0.000,0.000,0.000,35.367,1.067,33,0,W,Working
241F1,30.095,0.048,0.000,0.000,0.000,0.000,0.048,26.095,0.381,42,4,W,Working
241G2,1.429,0.000,0.714,0.095,0.000,0.810,0.810,1.429,0.000,37,4,W,Working
241H6,10.000,2.500,0.000,0.000,0.000,0.000,2.500,10.000,0.000,34,2,D,Resign
241K4,28.050,1.700,0.200,0.000,0.000,0.200,1.900,19.650,0.800,24,0,A,Resign
241K5,38.667,0.810,0.333,0.048,0.000,0.381,1.190,27.667,1.048,28,1,W,Working
241K6,38.500,0.000,0.000,0.000,0.000,0.000,0.000,28.000,1.000,19,0,A,Resign
242A5,33.048,0.048,0.667,0.429,0.000,1.095,1.143,26.048,0.667,44,6,W,Working
242G1,28.500,0.143,0.190,0.095,0.000,0.286,0.429,23.000,0.524,34,4,W,Working
242H3,0.000,0.000,0.429,0.000,0.000,0.429,0.429,0.000,0.000,37,3,W,Working
242H6,10.810,0.095,0.048,0.000,0.000,0.048,0.143,9.810,0.095,41,3,W,Working
242K2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30,0,A,Resign
242K4,8.750,1.500,0.500,0.000,0.000,0.500,2.000,8.750,0.000,29,0,D,Resign
242K5,61.214,0.048,0.000,0.000,0.000,0.000,0.048,42.214,1.810,23,1,W,Working
242K6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34,0,A,Resign
243G5,22.200,0.450,0.650,0.400,0.000,1.050,1.500,17.475,0.450,39,4,W,Working
243H9,11.143,0.286,0.429,0.095,0.095,0.619,0.905,9.143,0.190,21,2,W,Working
243K1,29.583,0.000,1.500,0.000,0.000,1.500,1.500,20.833,0.833,23,1,D,Resign
243K2,28.432,0.409,0.182,0.364,0.000,0.545,0.955,22.227,0.591,31,1,A,Resign
243K4,5.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,24,0,D,Resign
243K6,16.750,0.000,0.250,0.000,0.000,0.250,0.250,11.500,0.500,33,0,D,Resign
244F1,42.762,0.000,0.095,0.000,0.000,0.095,0.095,33.762,0.857,39,4,W,Working
